latitude,longitude,temperature
52.437407,13.292935,26.01
52.437407,13.293231,26.12
52.437407,13.293526,26.21
52.437407,13.293822,26.29
52.437407,13.294117,26.35
52.437407,13.294413,26.39
52.437407,13.294708,26.42
52.437407,13.295004,26.43
52.437407,13.295299,26.43
52.437407,13.295594,26.41
52.437407,13.295890,26.40
52.437407,13.296185,26.39
52.437407,13.296481,26.40
52.437407,13.296776,26.42
52.437407,13.297072,26.43
52.437407,13.297367,26.44
52.437407,13.297663,26.42
52.437407,13.297958,26.37
52.437407,13.298254,26.27
52.437407,13.298549,26.14
52.437407,13.298845,25.99
52.437407,13.299140,25.84
52.437407,13.299436,25.73
52.437407,13.299731,25.66
52.437407,13.300027,25.63
52.437407,13.300322,25.65
52.437407,13.300618,25.70
52.437407,13.300913,25.76
52.437407,13.301209,25.85
52.437407,13.301504,25.94
52.437407,13.301799,26.05
52.437407,13.302095,26.15
52.437407,13.302390,26.24
52.437407,13.302686,26.32
52.437407,13.302981,26.38
52.437407,13.303277,26.44
52.437407,13.303572,26.51
52.437407,13.303868,26.57
52.437407,13.304163,26.64
52.437407,13.304459,26.68
52.437407,13.304754,26.70
52.437407,13.305050,26.68
52.437407,13.305345,26.64
52.437407,13.305641,26.59
52.437407,13.305936,26.53
52.437407,13.306232,26.48
52.437407,13.306527,26.45
52.437407,13.306823,26.42
52.437407,13.307118,26.39
52.437407,13.307414,26.34
52.437407,13.307709,26.26
52.437407,13.308005,26.18
52.437407,13.308300,26.14
52.437543,13.249500,25.78
52.437543,13.249795,25.73
52.437543,13.250091,25.63
52.437543,13.250386,25.51
52.437543,13.250682,25.37
52.437543,13.250977,25.23
52.437543,13.251273,25.07
52.437543,13.251568,24.91
52.437543,13.251864,24.76
52.437543,13.252159,24.62
52.437543,13.252455,24.49
52.437543,13.252750,24.39
52.437543,13.253046,24.29
52.437543,13.253341,24.19
52.437543,13.253637,24.11
52.437543,13.253932,24.04
52.437543,13.254228,24.00
52.437543,13.254523,24.00
52.437543,13.254819,24.06
52.437543,13.255114,24.17
52.437543,13.255410,24.33
52.437543,13.255705,24.54
52.437543,13.256001,24.81
52.437543,13.256296,25.12
52.437543,13.256591,25.46
52.437543,13.256887,25.78
52.437543,13.257182,26.06
52.437543,13.257478,26.28
52.437543,13.257773,26.43
52.437543,13.258069,26.53
52.437543,13.258364,26.59
52.437543,13.258660,26.62
52.437543,13.258955,26.62
52.437543,13.259251,26.63
52.437543,13.259546,26.65
52.437543,13.259842,26.72
52.437543,13.260137,26.83
52.437543,13.260433,26.99
52.437543,13.260728,27.19
52.437543,13.261024,27.41
52.437543,13.261319,27.65
52.437543,13.261615,27.88
52.437543,13.261910,28.09
52.437543,13.262206,28.24
52.437543,13.262501,28.32
52.437543,13.262796,28.32
52.437543,13.263092,28.23
52.437543,13.263387,28.09
52.437543,13.263683,27.91
52.437543,13.263978,27.73
52.437543,13.264274,27.55
52.437543,13.264569,27.36
52.437543,13.264865,27.18
52.437543,13.265160,26.98
52.437543,13.265456,26.78
52.437543,13.265751,26.61
52.437543,13.266047,26.46
52.437543,13.266342,26.35
52.437543,13.266638,26.26
52.437543,13.266933,26.19
52.437543,13.267229,26.13
52.437543,13.267524,26.05
52.437543,13.267820,25.96
52.437543,13.268115,25.86
52.437543,13.268411,25.76
52.437543,13.268706,25.69
52.437543,13.269002,25.65
52.437543,13.269297,25.64
52.437543,13.269592,25.65
52.437543,13.269888,25.68
52.437543,13.270183,25.72
52.437543,13.270479,25.77
52.437543,13.270774,25.82
52.437543,13.271070,25.88
52.437543,13.271365,25.95
52.437543,13.271661,26.01
52.437543,13.271956,26.08
52.437543,13.272252,26.14
52.437543,13.272547,26.21
52.437543,13.272843,26.27
52.437543,13.273138,26.35
52.437543,13.273434,26.42
52.437543,13.273729,26.47
52.437543,13.274025,26.51
52.437543,13.274320,26.53
52.437543,13.274616,26.52
52.437543,13.274911,26.49
52.437543,13.275207,26.44
52.437543,13.275502,26.37
52.437543,13.275797,26.30
52.437543,13.276093,26.23
52.437543,13.276388,26.18
52.437543,13.276684,26.18
52.437543,13.276979,26.24
52.437543,13.277275,26.36
52.437543,13.277570,26.56
52.437543,13.277866,26.81
52.437543,13.278161,27.09
52.437543,13.278457,27.37
52.437543,13.278752,27.63
52.437543,13.279048,27.84
52.437543,13.279343,27.98
52.437543,13.279639,28.02
52.437543,13.279934,27.97
52.437543,13.280230,27.82
52.437543,13.280525,27.61
52.437543,13.280821,27.37
52.437543,13.281116,27.12
52.437543,13.281412,26.90
52.437543,13.281707,26.71
52.437543,13.282003,26.54
52.437543,13.282298,26.40
52.437543,13.282593,26.29
52.437543,13.282889,26.21
52.437543,13.283184,26.14
52.437543,13.283480,26.09
52.437543,13.283775,26.05
52.437543,13.284071,26.02
52.437543,13.284366,25.99
52.437543,13.284662,25.98
52.437543,13.284957,25.98
52.437543,13.285253,25.99
52.437543,13.285548,26.01
52.437543,13.285844,26.01
52.437543,13.286139,25.99
52.437543,13.286435,25.94
52.437543,13.286730,25.86
52.437543,13.287026,25.77
52.437543,13.287321,25.68
52.437543,13.287617,25.62
52.437543,13.287912,25.60
52.437543,13.288208,25.63
52.437543,13.288503,25.70
52.437543,13.288798,25.79
52.437543,13.289094,25.89
52.437543,13.289389,25.98
52.437543,13.289685,26.04
52.437543,13.289980,26.06
52.437543,13.290276,26.06
52.437543,13.290571,26.03
52.437543,13.290867,25.98
52.437543,13.291162,25.91
52.437543,13.291458,25.85
52.437543,13.291753,25.82
52.437543,13.292049,25.83
52.437543,13.292344,25.88
52.437543,13.292640,25.96
52.437543,13.292935,26.05
52.437543,13.293231,26.14
52.437543,13.293526,26.22
52.437543,13.293822,26.28
52.437543,13.294117,26.33
52.437543,13.294413,26.38
52.437543,13.294708,26.42
52.437543,13.295004,26.44
52.437543,13.295299,26.45
52.437543,13.295594,26.46
52.437543,13.295890,26.45
52.437543,13.296185,26.46
52.437543,13.296481,26.47
52.437543,13.296776,26.49
52.437543,13.297072,26.51
52.437543,13.297367,26.52
52.437543,13.297663,26.49
52.437543,13.297958,26.43
52.437543,13.298254,26.32
52.437543,13.298549,26.18
52.437543,13.298845,26.02
52.437543,13.299140,25.88
52.437543,13.299436,25.78
52.437543,13.299731,25.73
52.437543,13.300027,25.72
52.437543,13.300322,25.75
52.437543,13.300618,25.81
52.437543,13.300913,25.87
52.437543,13.301209,25.95
52.437543,13.301504,26.04
52.437543,13.301799,26.13
52.437543,13.302095,26.23
52.437543,13.302390,26.31
52.437543,13.302686,26.38
52.437543,13.302981,26.45
52.437543,13.303277,26.51
52.437543,13.303572,26.57
52.437543,13.303868,26.64
52.437543,13.304163,26.68
52.437543,13.304459,26.71
52.437543,13.304754,26.71
52.437543,13.305050,26.70
52.437543,13.305345,26.66
52.437543,13.305641,26.62
52.437543,13.305936,26.59
52.437543,13.306232,26.56
52.437543,13.306527,26.54
52.437543,13.306823,26.52
52.437543,13.307118,26.49
